id,observed_on,time_observed_at,user_id,user_login,url,place_guess,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,scientific_name,taxon_family_name,field:number of bees collected,field:oba collection method,field:sample id.,field:trap installed,field:trap removed
25354796,5/18/19,2019-05-19 00:51:39 UTC,1539907,pdxmartha,https://www.inaturalist.org/observations/25354796,"Brentwood-Darlington, Portland, OR, USA",45.47312765,-122.6129614,4,Multnomah,Oregon,United States,Philadelphus coronarius,Hydrangeaceae,1,net,2,,
25394614,5/19/19,2019-05-19 18:04:49 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25394614,"Albany, OR 97321, USA",44.71383646,-123.1625927,6,Benton,Oregon,United States,Rosa nutkana,Rosaceae,0,net,268,,
25397506,5/19/19,2019-05-19 18:58:03 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25397506,"Albany, OR 97321, USA",44.71679855,-123.1606076,7,Benton,Oregon,United States,Symphoricarpos albus,Caprifoliaceae,2,net,269,,
25402104,5/19/19,2019-05-19 20:15:44 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25402104,"Independence, OR 97351, USA",44.7320403,-123.1519325,5,Polk,Oregon,United States,Lomatium nudicaule,Apiaceae,11,net,270,,
25403649,5/19/19,2019-05-19 20:38:21 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25403649,"Independence, OR 97351, USA",44.73164214,-123.1509079,8,Polk,Oregon,United States,Sidalcea campestris,Malvaceae,5,net,271,,
25409313,5/19/19,2019-05-19 22:12:14 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25409313,"Independence, OR 97351, USA",44.73187228,-123.1526225,7,Polk,Oregon,United States,Physocarpus capitatus,Rosaceae,1,net,272,,
25413701,5/19/19,2019-05-19 17:58:53 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25413701,"8759 Buena Vista Rd NW, Albany, OR, US",44.71384748,-123.162597,5,Benton,Oregon,United States,Rosa nutkana,Rosaceae,1,net,85,,
25413754,5/19/19,2019-05-19 20:41:24 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25413754,"97351, Independence, OR, US",44.73142241,-123.1504804,5,Polk,Oregon,United States,Lomatium,Apiaceae,5,net,86,,
25413862,5/19/19,2019-05-19 17:10:56 UTC,327525,brianalindh,https://www.inaturalist.org/observations/25413862,"2455 River Rd S, Salem, OR, US",44.91902167,-123.0602195,30676,Marion,Oregon,United States,Lupinus,Fabaceae,1,net,156,,
25413954,5/19/19,2019-05-19 17:13:35 UTC,327525,brianalindh,https://www.inaturalist.org/observations/25413954,"Minto-Brown Island Park, Salem, OR, US",44.93104167,-123.0640333,5,Marion,Oregon,United States,Hypochaeris radicata,Asteraceae,1,net,157,,
25418135,5/19/19,2019-05-19 21:08:26 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25418135,"97351, Independence, OR, US",44.73158682,-123.1509833,5,Polk,Oregon,United States,Sidalcea campestris,Malvaceae,6,net,87,,
25418846,5/19/19,2019-05-19 20:27:49 UTC,890797,tiliamae,https://www.inaturalist.org/observations/25418846,"995 Mayfair Ln, Grants Pass, OR, US",42.41130833,-123.347,10,Josephine,Oregon,United States,Ranunculus,Ranunculaceae,5,net,12,,
25421970,5/19/19,2019-05-19 23:42:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25421970,"Josephine County, OR, USA",42.35865278,-123.4131639,16,Josephine,Oregon,United States,Plectritis congesta,Caprifoliaceae,17,net,105,,
25422034,5/19/19,2019-05-20 00:58:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25422034,"Josephine County, OR, USA",42.36301944,-123.3776917,5672,Josephine,Oregon,United States,Eriophyllum lanatum,Asteraceae,8,net,106,,
25422272,5/19/19,2019-05-19 21:49:47 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25422272,"97351, Independence, OR, US",44.73360132,-123.1492541,10,Polk,Oregon,United States,Symphoricarpos,Caprifoliaceae,1,net,88,,
25422456,5/19/19,2019-05-20 00:00:00 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25422456,"Josephine County, OR, USA",42.36176111,-123.3620667,2047,Josephine,Oregon,United States,Triteleia hyacinthina,Asparagaceae,1,net,107,,
25456027,5/20/19,2019-05-20 18:29:34 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25456027,"1023–1263 Newland Rd, Central Point, OR, US",42.42133691,-122.9073172,16,Jackson,Oregon,United States,Triteleia hyacinthina,Asparagaceae,1,net,108,,
25457150,5/20/19,2019-05-20 18:47:44 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25457150,"1023–1263 Newland Rd, Central Point, OR, US",42.42096515,-122.9073435,16,Jackson,Oregon,United States,Clarkia purpurea,Onagraceae,3,net,109,,
25458193,5/20/19,2019-05-20 19:03:26 UTC,792468,molfamily,https://www.inaturalist.org/observations/25458193,"728–752 Mosier the Dalles Hwy, Mosier, OR, US",45.68476269,-121.393883,16,Wasco,Oregon,United States,Eriogonum compositum,Polygonaceae,1,net,311,,
25459720,5/20/19,2019-05-20 19:26:51 UTC,792468,molfamily,https://www.inaturalist.org/observations/25459720,"7500–7680 Mosier the Dalles Hwy, Mosier, OR, US",45.68925313,-121.3406141,16,Wasco,Oregon,United States,Balsamorhiza sagittata,Asteraceae,4,net,312,,
25460893,5/20/19,2019-05-20 19:45:19 UTC,792468,molfamily,https://www.inaturalist.org/observations/25460893,"7041–7081 Mosier the Dalles Hwy, The Dalles, OR, US",45.68412081,-121.3125274,16,Wasco,Oregon,United States,Vicia villosa,Fabaceae,2,net,313,,
25461162,5/20/19,2019-05-20 19:49:20 UTC,792468,molfamily,https://www.inaturalist.org/observations/25461162,"7041–7081 Mosier the Dalles Hwy, The Dalles, OR, US",45.68413323,-121.3124885,12,Wasco,Oregon,United States,Eriophyllum lanatum,Asteraceae,3,net,314,,
25461975,5/20/19,2019-05-20 20:03:03 UTC,792468,molfamily,https://www.inaturalist.org/observations/25461975,"7027–7039 Mosier the Dalles Hwy, The Dalles, OR, US",45.68404843,-121.3122486,16,Wasco,Oregon,United States,Frasera albicaulis,Gentianaceae,2,net,315,,
25462462,5/20/19,2019-05-20 19:46:35 UTC,792775,dto,https://www.inaturalist.org/observations/25462462,"Mosier, OR 97040, USA",45.68421385,-121.3125014,30,Wasco,Oregon,United States,Eriophyllum lanatum integrifolium,Asteraceae,1,net,97,,
25463611,5/20/19,2019-05-20 20:28:05 UTC,792775,dto,https://www.inaturalist.org/observations/25463611,"Mosier, OR 97040, USA",45.682816,-121.3058685,56,Wasco,Oregon,United States,Toxicodendron diversilobum,Anacardiaceae,2,net,98,,
25464989,5/18/19,2019-05-18 18:38:17 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25464989,"John Day Fossil Beds National Monument, Wheeler County, US-OR, US",44.65416092,-120.2515696,22,Wheeler,Oregon,United States,Taraxacum,Asteraceae,1,net,149,,
25464997,5/18/19,2019-05-18 17:54:07 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25464997,"Wheeler County, US-OR, US",44.63066824,-120.216873,22,Wheeler,Oregon,United States,Peritoma platycarpa,Cleomaceae,1,net,142,,
25465011,5/18/19,2019-05-18 17:51:21 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465011,"Wheeler County, US-OR, US",44.63057654,-120.216866,22,Wheeler,Oregon,United States,Chaenactis glabriuscula,Asteraceae,1,net,141,,
25465027,5/18/19,2019-05-18 17:48:15 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465027,"Wheeler County, US-OR, US",44.6306765,-120.2168251,22,Wheeler,Oregon,United States,Peritoma platycarpa,Cleomaceae,1,net,144,,
25465043,5/17/19,2019-05-17 23:40:28 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465043,"Wheeler County, US-OR, US",44.89505891,-120.0951461,22,Wheeler,Oregon,United States,Taraxacum officinale,Asteraceae,1,net,146,,
25465060,5/17/19,2019-05-17 23:36:47 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465060,"Wheeler County, US-OR, US",44.89526238,-120.0951663,22,Wheeler,Oregon,United States,Taraxacum officinale,Asteraceae,1,net,147,,
25465090,5/17/19,2019-05-17 23:35:31 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465090,,,,,,,,,,1,net,148,,
25465115,5/16/19,2019-05-17 01:01:31 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465115,"Wheeler County, US-OR, US",44.82257891,-120.3665296,10,Wheeler,Oregon,United States,Lepidium draba,Brassicaceae,1,net,151,,
25465143,5/16/19,2019-05-16 18:53:57 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465143,"Jefferson County, US-OR, US",44.791494,-120.4041298,10,Jefferson,Oregon,United States,Brassicaceae,Brassicaceae,1,net,152,,
25465157,5/16/19,2019-05-16 18:30:00 UTC,752114,stephaniehazen,https://www.inaturalist.org/observations/25465157,"Jefferson County, US-OR, US",44.79142921,-120.4040867,5,Jefferson,Oregon,United States,Lepidium,Brassicaceae,1,net,150,,
25469130,5/20/19,2019-05-20 22:17:54 UTC,792468,molfamily,https://www.inaturalist.org/observations/25469130,"97812, Arlington, OR, US",45.70593384,-120.1850129,12,Gilliam,Oregon,United States,Astragalus,Fabaceae,3,net,316,,
25469586,5/20/19,2019-05-20 22:25:44 UTC,792468,molfamily,https://www.inaturalist.org/observations/25469586,"97812, Arlington, OR, US",45.7059216,-120.1858421,48,Gilliam,Oregon,United States,Crepis atribarba,Asteraceae,4,net,317,,
25470191,5/20/19,2019-05-20 22:38:40 UTC,792775,dto,https://www.inaturalist.org/observations/25470191,"Arlington, OR 97812, USA",45.70589037,-120.1853656,60,Gilliam,Oregon,United States,Asteroideae,Asteraceae,2,net,99,,
25471543,5/20/19,2019-05-20 21:56:36 UTC,327525,brianalindh,https://www.inaturalist.org/observations/25471543,"Willamette University, Salem, OR, US",44.93579167,-123.0303028,10,Marion,Oregon,United States,Physocarpus,Rosaceae,3,net,158,,
25479367,5/20/19,2019-05-20 20:59:01 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25479367,"Jackson County, US-OR, US",42.48617872,-122.6667417,24,Jackson,Oregon,United States,Eriophyllum lanatum,Asteraceae,7,net,110,,
25479377,5/20/19,2019-05-20 20:59:40 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25479377,"Jackson County, US-OR, US",42.4860633,-122.6671719,24,Jackson,Oregon,United States,Wyethia angustifolia,Asteraceae,1,net,111,,
25479395,5/20/19,2019-05-20 21:00:26 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25479395,"Jackson County, US-OR, US",42.48629698,-122.6673347,32,Jackson,Oregon,United States,Horkelia daucifolia,Rosaceae,1,net,112,,
25479414,5/20/19,2019-05-20 22:11:15 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25479414,"Jackson County, US-OR, US",42.48316085,-122.6722268,16,Jackson,Oregon,United States,Eriophyllum lanatum,Asteraceae,6,net,113,,
25487263,5/20/19,2019-05-20 21:46:14 UTC,841568,lohump,https://www.inaturalist.org/observations/25487263,,,,,,,,Linum bienne,Linaceae,1,net,3,,
25487269,5/20/19,2019-05-21 01:00:00 UTC,754260,ellenwatrous,https://www.inaturalist.org/observations/25487269,"Silver Lake, OR 97638, USA",43.12452364,-121.0418321,4,Lake,Oregon,United States,,,1,net,273,,
25487452,5/20/19,2019-05-20 20:36:44 UTC,841568,lohump,https://www.inaturalist.org/observations/25487452,,,,,,,,Heracleum maximum,Apiaceae,23,net,1,,
25487526,5/20/19,2019-05-20 21:30:54 UTC,841568,lohump,https://www.inaturalist.org/observations/25487526,,,,,,,,Ranunculus orthorhynchus,Ranunculaceae,3,net,2,,
25487676,5/20/19,2019-05-20 22:12:21 UTC,841568,lohump,https://www.inaturalist.org/observations/25487676,,,,,,,,Anthemis arvensis,Asteraceae,9,net,4,,
25520736,5/21/19,2019-05-21 18:12:37 UTC,792468,molfamily,https://www.inaturalist.org/observations/25520736,"Wheeler County, US-OR, US",44.63296535,-120.3018914,16,Wheeler,Oregon,United States,Eriogonum,Polygonaceae,3,net,318,,
25520834,5/21/19,2019-05-21 18:28:39 UTC,792468,molfamily,https://www.inaturalist.org/observations/25520834,"Wheeler County, US-OR, US",44.63264509,-120.3022819,32,Wheeler,Oregon,United States,Blepharipappus scaber,Asteraceae,3,net,319,,
25520989,5/21/19,2019-05-21 19:13:08 UTC,792468,molfamily,https://www.inaturalist.org/observations/25520989,"Wheeler County, US-OR, US",44.63447005,-120.3006707,12,Wheeler,Oregon,United States,Phacelia heterophylla,Boraginaceae,1,net,320,,
25528701,5/21/19,2019-05-21 21:33:34 UTC,792468,molfamily,https://www.inaturalist.org/observations/25528701,"Wheeler County, US-OR, US",44.560499,-119.8362319,32,Wheeler,Oregon,United States,Triteleia grandiflora,Asparagaceae,1,net,321,,
25528795,5/21/19,2019-05-21 21:44:08 UTC,792468,molfamily,https://www.inaturalist.org/observations/25528795,"Wheeler County, US-OR, US",44.54827773,-119.7854605,48,Wheeler,Oregon,United States,Astragalus filipes,Fabaceae,1,net,322,,
25528898,5/21/19,2019-05-21 21:53:40 UTC,792468,molfamily,https://www.inaturalist.org/observations/25528898,"Wheeler County, US-OR, US",44.53494684,-119.7484071,48,Wheeler,Oregon,United States,Chaenactis nevii,Asteraceae,3,net,323,,
25529163,5/21/19,2019-05-21 18:35:26 UTC,792775,dto,https://www.inaturalist.org/observations/25529163,"Wheeler County, US-OR, US",44.63283805,-120.3017682,3,Wheeler,Oregon,United States,Blepharipappus scaber,Asteraceae,3,net,100,,
25529181,5/21/19,2019-05-21 21:52:51 UTC,792775,dto,https://www.inaturalist.org/observations/25529181,"Wheeler County, US-OR, US",44.53587383,-119.7507504,17,Wheeler,Oregon,United States,Penstemon,Plantaginaceae,2,net,101,,
25531067,5/21/19,2019-05-21 23:37:51 UTC,1546088,scotttienken,https://www.inaturalist.org/observations/25531067,"10110 N Portland Rd, Portland, OR 97203, USA",45.5957041,-122.7251159,68,Multnomah,Oregon,United States,Physocarpus capitatus,Rosaceae,4,net,4,,
25531472,5/21/19,2019-05-21 23:33:33 UTC,327525,brianalindh,https://www.inaturalist.org/observations/25531472,"149–189 21st St NE, Salem, OR, US",44.93507,-123.0148,10,Marion,Oregon,United States,Ceanothus thyrsiflorus,Rhamnaceae,11,net,159,,
25536003,5/21/19,2019-05-21 23:46:47 UTC,792468,molfamily,https://www.inaturalist.org/observations/25536003,"Grant County, US-OR, US",44.5466145,-118.5308472,8,Grant,Oregon,United States,Salix,Salicaceae,1,net,324,,
25571424,5/22/19,2019-05-22 18:11:03 UTC,792468,molfamily,https://www.inaturalist.org/observations/25571424,"27001–27035 Snake River Rd, Huntington, OR, US",44.35548033,-117.253309,12,Baker,Oregon,United States,Lupinus sericeus,Fabaceae,1,net,325,,
25572079,5/22/19,2019-05-22 18:22:49 UTC,792468,molfamily,https://www.inaturalist.org/observations/25572079,"27586–27898 Snake River Rd, Huntington, OR, US",44.35813888,-117.2493392,24,Baker,Oregon,United States,Penstemon deustus,Plantaginaceae,5,net,326,,
25574014,5/22/19,2019-05-22 18:51:02 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25574014,"4300–4498 Pettit Ln NE, Silverton, OR, US",44.99091909,-122.8032137,10,Marion,Oregon,United States,Bellis perennis,Asteraceae,10,net,5,,
25574601,5/22/19,2019-05-22 19:03:37 UTC,792468,molfamily,https://www.inaturalist.org/observations/25574601,"27587–27899 Snake River Rd, Huntington, OR, US",44.35901427,-117.2489385,24,Baker,Oregon,United States,Sphaeralcea munroana,Malvaceae,5,net,327,,
25575028,5/22/19,2019-05-22 19:11:51 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25575028,"4301–4499 Pettit Ln NE, Silverton, OR, US",44.99099771,-122.8009881,5,Marion,Oregon,United States,Heracleum maximum,Apiaceae,7,net,6,,
25576183,5/22/19,2019-05-22 19:31:53 UTC,792468,molfamily,https://www.inaturalist.org/observations/25576183,"27901–28687 Snake River Rd, Huntington, OR, US",44.36534951,-117.2290886,12,Baker,Oregon,United States,Erigeron pumilus,Asteraceae,2,net,328,,
25576537,5/22/19,2019-05-22 19:37:22 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25576537,"Pettit Reservoir, Silverton, OR, US",44.99184853,-122.7976568,200,Marion,Oregon,United States,Rosa multiflora,Rosaceae,5,net,7,,
25577717,5/22/19,2019-05-22 19:49:07 UTC,792468,molfamily,https://www.inaturalist.org/observations/25577717,"Pony Farm Rd, Huntington, OR, US",44.36603549,-117.2294933,96,Baker,Oregon,United States,Sphaeralcea munroana,Malvaceae,10,net,329,,
25580222,5/22/19,2019-05-22 18:19:41 UTC,792775,dto,https://www.inaturalist.org/observations/25580222,"Huntington, OR 97907, USA",44.36548761,-117.2292857,44,Baker,Oregon,United States,Eriogonum compositum,Polygonaceae,8,net,102,,
25580306,5/22/19,2019-05-22 18:34:20 UTC,792775,dto,https://www.inaturalist.org/observations/25580306,"Huntington, OR 97907, USA",44.36604799,-117.2299314,22,Baker,Oregon,United States,Penstemon deustus,Plantaginaceae,12,net,103,,
25580355,5/22/19,2019-05-22 18:56:23 UTC,792775,dto,https://www.inaturalist.org/observations/25580355,"Huntington, OR 97907, USA",44.35920599,-117.249007,12,Baker,Oregon,United States,Dalea ornata,Fabaceae,3,net,104,,
25580459,5/22/19,2019-05-22 20:40:22 UTC,1434266,laurebordelon,https://www.inaturalist.org/observations/25580459,"1005 Reserve St, Silverton, OR, US",45.00541295,-122.7729996,10,Marion,Oregon,United States,Ajuga,Lamiaceae,2,net,8,,
25580520,5/22/19,2019-05-22 20:45:40 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25580520,"Rogue River-Siskiyou National Forest, Grants Pass, OR, US",42.42680416,-123.5445623,48,Josephine,Oregon,United States,Calochortus tolmiei,Liliaceae,3,net,114,,
25580573,5/22/19,2019-05-22 19:33:29 UTC,792775,dto,https://www.inaturalist.org/observations/25580573,"Huntington, OR 97907, USA",44.39852392,-117.2434239,6,Baker,Oregon,United States,Crepis occidentalis,Asteraceae,1,net,105,,
25580701,5/22/19,2019-05-22 19:37:48 UTC,792775,dto,https://www.inaturalist.org/observations/25580701,"Huntington, OR 97907, USA",44.36538699,-117.2291458,16,Baker,Oregon,United States,Erigeron pumilus,Asteraceae,7,net,106,,
25580808,5/22/19,2019-05-22 20:50:10 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25580808,"Rogue River-Siskiyou National Forest, Grants Pass, OR, US",42.42685438,-123.5449872,16,Josephine,Oregon,United States,Camassia quamash,Asparagaceae,2,net,115,,
25581329,5/22/19,2019-05-22 20:10:43 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/25581329,"Josephine County, US-OR, US",42.4267908,-123.5451079,30,Josephine,Oregon,United States,Camassia quamash,Asparagaceae,,net,28,,
25581429,5/22/19,2019-05-22 21:03:49 UTC,620505,judithmaxwell,https://www.inaturalist.org/observations/25581429,"Rogue River-Siskiyou National Forest, Grants Pass, OR, US",42.42638983,-123.5450385,48,Josephine,Oregon,United States,Camassia howellii,Asparagaceae,1,net,116,,
25581441,5/22/19,2019-05-22 21:00:41 UTC,1447015,phylismcintosh,https://www.inaturalist.org/observations/25581441,"Rogue River-Siskiyou National Forest, Grants Pass, OR, US",42.42689797,-123.5454286,10,Josephine,Oregon,United States,Calochortus tolmiei,Liliaceae,1,net,28,,
25581981,5/22/19,2019-05-22 21:10:18 UTC,1560167,annelesenne,https://www.inaturalist.org/observations/25581981,"North Bethany, Portland, OR 97229, USA",45.56518651,-122.861115,5,Washington,Oregon,United States,Anthidium manicatum,Megachilidae,,net,52220191,,
25582670,5/22/19,2019-05-22 21:22:05 UTC,792775,dto,https://www.inaturalist.org/observations/25582670,"Huntington, OR 97907, USA",44.36947274,-117.2323494,22,Baker,Oregon,United States,Cirsium canovirens,Asteraceae,1,net,107,,
25593917,5/22/19,2019-05-22 23:59:30 UTC,175529,jerrypaul,https://www.inaturalist.org/observations/25593917,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60291576,-123.2646875,5,Benton,Oregon,United States,Cotinus coggygria,Anacardiaceae,28,net,89,,
25593924,5/22/19,2019-05-22 20:50:50 UTC,792468,molfamily,https://www.inaturalist.org/observations/25593924,"Baker County, US-OR, US",44.38887514,-117.244602,32,Baker,Oregon,United States,Penstemon deustus,Plantaginaceae,2,net,330,,
25594067,5/22/19,2019-05-22 19:58:33 UTC,792468,molfamily,https://www.inaturalist.org/observations/25594067,"Baker County, US-OR, US",44.36585357,-117.2302923,64,Baker,Oregon,United States,Cirsium canovirens,Asteraceae,2,net,331,,
25594096,5/22/19,2019-05-22 20:34:00 UTC,792468,molfamily,https://www.inaturalist.org/observations/25594096,"Baker County, US-OR, US",44.38593568,-117.2429446,8,Baker,Oregon,United States,Lupinus sericeus,Fabaceae,1,net,332,,
25594121,5/22/19,2019-05-22 20:02:03 UTC,792468,molfamily,https://www.inaturalist.org/observations/25594121,"Baker County, US-OR, US",44.38835111,-117.2451121,16,Baker,Oregon,United States,Phacelia heterophylla,Boraginaceae,2,net,333,,
